"ORDER_LINE_ID","ORDER__ORDER_ID","PRODUCT__PRODUCT_ID","CUSTOMER__CUSTOMER_ID","ORDER_UNIT_PRICE","ORDER_UNIT_QUANTITY","WDF__CLIENT_ID","ORDER_UNIT_DISCOUNT","ORDER_UNIT_COST","DATE","ORDER_DATE","CUSTOMER_AGE"
"Pd0fDj8PcSvgwVMmr5BjMrVdT2aebwMg","6616","72","294","488.99","3.00","merchant__clothing","0.00","434.99","2021-05-12 09:09:00.000","2021-05-12 09:09:00.000","1-3M"
"Oz0tG7nUiEuAajl7S7hyPOa4NHFOXQGx","1176","83","131","414.99","6.00","merchant__bigboxretailer","0.00","393.30","2020-01-18 16:57:00.000","2020-01-18 16:57:00.000","7M+"
"01zfZciyCnbyFSgJ69FTXUp4eAg0Hv1K","1694","86","36","125.99","3.00","merchant__bigboxretailer","0.00","28.52","2020-01-15 19:30:00.000","2020-01-15 19:30:00.000","7M+"
"jiFXWE7n9ePXo2IljVFhIbLuxfQ3cfQU","5767","11","215","122.99","2.00","merchant__bigboxretailer","0.00","63.99","2022-08-06 22:40:00.000","2022-08-06 22:40:00.000","7M+"
"ws346fjXD3NIjPjYSiCx1BKTfd4jhFMg","5262","35","179","68.99","1.00","merchant__bigboxretailer","0.00","39.39","2020-07-21 13:27:00.000","2020-07-21 13:27:00.000","1-3M"
"98khzypoNRC5gEuR5Dh823qR7V5JLAJQ","7409","28","397","37.99","4.00","merchant__clothing","0.00","20.99","2022-07-28 23:18:00.000","2022-07-28 23:18:00.000","7M+"
"O15cFPanBvMAAuU5b8jH7nJ004hEHXSB","4814","61","47","455.99","10.00","merchant__clothing","0.00","240.99","2022-08-23 22:23:00.000","2022-08-23 22:23:00.000","1-3M"
"Pzh2qRGrlj02j7axSHcEX2xhRx97ya6a","6270","4","259","353.99","1.00","merchant__clothing","0.00","179.99","2022-09-12 13:33:00.000","2022-09-12 13:33:00.000","7M+"
"6HgQh4Gon93pl4E4mGWPmgBmkV5ab9xk","5635","47","205","649.99","5.00","merchant__clothing","0.00","394.99","2022-10-09 22:20:00.000","2022-10-09 22:20:00.000","7M+"
"30SHJJOxuea3FjxMenKhYJOoo7yMxnct","6573","86","289","139.99","4.00","merchant__clothing","0.00","30.99","2021-07-24 20:27:00.000","2021-07-24 20:27:00.000","1-3M"
"Zprb8nCLm6V9dKdrh9g075CodRAzY8Sl","5524","86","197","152.99","2.00","merchant__clothing","0.00","31.99","2021-11-03 09:05:00.000","2021-11-03 09:05:00.000","7M+"
"loK9hS64HjdW3wGGMur0xguUWhq8xoHf","6526","58","284","257.99","1.00","merchant__clothing","0.00","214.99","2022-08-31 21:15:00.000","2022-08-31 21:15:00.000","7M+"
"CeTK8k71wdEaV3hm9NnTYfc0HqypXqkP","4033","73","14","624.99","8.00","merchant__clothing","0.00","362.99","2022-08-29 14:05:00.000","2022-08-29 14:05:00.000","1-3M"
"sSATV22ndHrElGTN5T4qUf0bg9SrU8yH","1296","91","30","181.99","9.00","merchant__clothing","0.00","27.99","2021-04-08 21:56:00.000","2021-04-08 21:56:00.000","7M+"
"E0wPjFgwYhcx17LNNwVgzixX36NmxpzT","4741","89","73","549.99","8.00","merchant__bigboxretailer","0.00","492.99","2022-08-11 19:24:00.000","2022-08-11 19:24:00.000","1-3M"
"VKBG3JVn1WWawkzUP6PtNi7wMZ5UzuD6","1669","85","21","172.99","9.00","merchant__clothing","0.00","93.99","2021-11-10 20:23:00.000","2021-11-10 20:23:00.000","4-6M"
"MJ1DclZpXkThKCptLelovgDE0rObYrnw","1017","13","14","110.99","8.00","merchant__clothing","0.00","57.99","2022-09-05 15:14:00.000","2022-09-05 15:14:00.000","1-3M"
"yFbyT6cAjCkYbCjFMjTaHu8ELwUQ1CoD","3478","86","49","152.99","7.00","merchant__bigboxretailer","0.00","31.99","2022-03-31 22:10:00.000","2022-03-31 22:10:00.000","4-6M"
"0NYczpfKlRZrupjLwiYn872Ch0eYGPBt","4711","86","3","139.99","4.00","merchant__clothing","0.00","30.99","2021-09-05 18:26:00.000","2021-09-05 18:26:00.000","7M+"
"4LSfWs6fEochi7TZvmzVISU7WGRdKbZ2","4305","18","3","60.99","6.00","merchant__clothing","0.00","32.99","2022-01-02 19:13:00.000","2022-01-02 19:13:00.000","7M+"
"4EMAnZLxOGkgaEReQLh6AzaskNClz1Ah","244","26","75","279.99","3.00","merchant__clothing","0.00","142.99","2022-05-18 14:00:00.000","2022-05-18 14:00:00.000","1-3M"
"SxixTJ2CJmcuWnHaLxOwgkC6Ajr5l37C","7089","21","348","122.99","3.00","merchant__clothing","0.00","63.99","2022-05-24 10:18:00.000","2022-05-24 10:18:00.000","7M+"
"nUL5ziSP4YxKPnCg5JylDKU42zvO8NQK","6823","40","316","578.99","2.00","merchant__clothing","0.00","477.99","2021-11-28 12:38:00.000","2021-11-28 12:38:00.000","4-6M"
"oF4pDoA8nviMpokuvRC1TC4xnYEZAZr6","7174","86","360","152.99","3.00","merchant__clothing","0.00","31.99","2022-06-08 11:12:00.000","2022-06-08 11:12:00.000","7M+"
"x9SCBFno0MplXQj28sr1ikxuHIxh6sWw","368","3","8","44.99","7.00","merchant__bigboxretailer","0.00","23.99","2022-03-05 09:57:00.000","2022-03-05 09:57:00.000","1-3M"
"2YIVVI6VmZnkTAhg2eiXHWi96OMefAgR","3613","10","121","69.99","1.00","merchant__clothing","0.00","36.99","2022-07-04 17:29:00.000","2022-07-04 17:29:00.000","1-3M"
"U4Mch7KQCp5EbQoK7SUuSsfXyxbFmu9U","4375","83","7","456.99","7.00","merchant__bigboxretailer","0.00","413.99","2020-11-27 10:33:00.000","2020-11-27 10:33:00.000","7M+"
"26V8jtiweqkHtXAWoNTRBfes3wn49EhO","3565","37","49","726.99","5.00","merchant__clothing","72.70","365.99","2022-01-17 13:25:00.000","2022-01-17 13:25:00.000","7M+"
"QKYk0AocnSeLAHGZzVk8gIBTjo4wcN5a","5148","20","171","25.99","5.00","merchant__bigboxretailer","0.00","15.99","2021-04-24 20:14:00.000","2021-04-24 20:14:00.000","7M+"
"rrDYoF9zMIfkrNtyaxksBmy0iXGtYfRc","4165","85","66","156.99","6.00","merchant__clothing","0.00","89.99","2021-04-09 20:02:00.000","2021-04-09 20:02:00.000","7M+"
"ql7jf7RhZlKlH1dfz7KZngciQmjpOGto","5736","50","213","691.99","5.00","merchant__bigboxretailer","0.00","511.99","2021-06-19 21:28:00.000","2021-06-19 21:28:00.000","7M+"
"QCbRSrfTNVFGIFvGVZ4mVP41t49frtyZ","1891","34","12","279.99","5.00","merchant__clothing","0.00","142.99","2022-07-25 16:42:00.000","2022-07-25 16:42:00.000","1-3M"
"AKvZmsJrAnnuqWEcJN190lP2qLfjmPSf","1235","15","80","74.99","6.00","merchant__clothing","0.00","39.99","2022-02-12 07:19:00.000","2022-02-12 07:19:00.000","7M+"
"HLj2lBG03aKpPFyPpV2XOnxFZN9prMft","3969","54","28","229.99","4.00","merchant__bigboxretailer","0.00","135.99","2021-03-09 07:11:00.000","2021-03-09 07:11:00.000","7M+"
"t65hA8OiGjki3FTbJpKQcw1XogBveQpJ","7221","75","366","491.99","4.00","merchant__clothing","0.00","443.99","2022-09-27 10:20:00.000","2022-09-27 10:20:00.000","7M+"
"ErKJueMzQr4PsRT4CfgQfMh7RU5bvRLl","4274","34","14","279.99","9.00","merchant__clothing","0.00","142.99","2022-01-28 09:19:00.000","2022-01-28 09:19:00.000","4-6M"
"zQATqnRxYs1Otz7HH5YQ7CWVPAnBSO5A","7702","58","490","257.99","5.00","merchant__clothing","0.00","214.99","2022-10-15 11:32:00.000","2022-10-15 11:32:00.000","1-3M"
"rMv7CENaJ0EkOIQC9tAP83SbUzRrVTDq","4015","37","79","726.99","8.00","merchant__clothing","0.00","365.99","2022-08-11 09:59:00.000","2022-08-11 09:59:00.000","1-3M"
"b3GEDaFECmwwGRJBbhJTh8QXghmAnIbT","5474","2","193","85.99","2.00","merchant__bigboxretailer","0.00","44.99","2022-03-02 00:17:00.000","2022-03-02 00:17:00.000","7M+"
"cED5wijTMRPHVqIeXB8DA6XRhD1c8xWI","4626","12","46","243.99","4.00","merchant__clothing","0.00","123.99","2022-10-15 16:26:00.000","2022-10-15 16:26:00.000","1-3M"
"35Sz0B3grYtt4birM5hHP1tLNuNd3BPJ","1609","81","84","398.99","3.00","merchant__clothing","0.00","300.99","2021-02-09 18:32:00.000","2021-02-09 18:32:00.000","7M+"
"MzBFwF6eXff91sZzglu6CFOv5nP16XLd","1035","89","16","499.99","4.00","merchant__bigboxretailer","0.00","468.99","2021-01-02 09:11:00.000","2021-01-02 09:11:00.000","7M+"
"hRyGLtXi8JPfUmERazR71DWIrtRjLVVM","5426","21","190","111.99","3.00","merchant__clothing","0.00","60.99","2021-03-01 17:28:00.000","2021-03-01 17:28:00.000","7M+"
"wJq1fONyvRW3DmCXGstQvbGWWSB4JT1l","103","8","27","273.99","2.00","merchant__bigboxretailer","0.00","139.99","2022-10-12 10:00:00.000","2022-10-12 10:00:00.000","1-3M"
"415E0eJIdrTPJjfCUf3VbghWKP7JOWYz","4079","17","6","23.99","8.00","merchant__bigboxretailer","0.00","13.99","2022-02-02 09:54:00.000","2022-02-02 09:54:00.000","1-3M"
"Fe0uoG4EplubNHu5TPmBCOK9vfZW5dqU","5159","28","172","30.99","4.00","merchant__clothing","0.00","18.49","2020-06-12 10:55:00.000","2020-06-12 10:55:00.000","1-3M"
"QJEOPKJC7u5lCRLoG8FJAQmNr5OCsbdr","5385","80","187","367.99","6.00","merchant__bigboxretailer","0.00","286.99","2021-09-23 11:49:00.000","2021-09-23 11:49:00.000","7M+"
"MPWB1BS8VkdZnnkBZaCux5kyfL27erdC","6591","2","291","85.99","2.00","merchant__bigboxretailer","0.00","44.99","2022-02-27 11:26:00.000","2022-02-27 11:26:00.000","7M+"
"3iGQ2gbWmG8uArRGCfguZqFHiMnptmUW","1043","22","116","171.99","6.00","merchant__clothing","0.00","87.99","2021-11-15 22:04:00.000","2021-11-15 22:04:00.000","7M+"
"gzsXVdUnrpouWJD2qwgwiVyQyA45lFip","1065","42","101","198.99","7.00","merchant__bigboxretailer","0.00","46.99","2022-09-20 17:54:00.000","2022-09-20 17:54:00.000","1-3M"
"8swowvpFjDW05qbnNUBKQWSbLosDI31Z","6982","26","334","279.99","7.00","merchant__clothing","0.00","142.99","2022-08-30 18:49:00.000","2022-08-30 18:49:00.000","7M+"
"DqBdhnOEcKmsCBZ7bz2giT5edVNzqDfO","3546","36","73","76.99","3.00","merchant__clothing","0.00","40.99","2021-12-03 13:52:00.000","2021-12-03 13:52:00.000","1-3M"
"FMN8zblZRTe62h4Uchr2WJqftdmVFq4t","1139","64","121","166.99","9.00","merchant__clothing","0.00","108.99","2021-10-22 17:56:00.000","2021-10-22 17:56:00.000","7M+"
"KfqGBm3vFlFnA1XgL7IpF8VlPq6M0Tws","5192","8","174","225.99","4.00","merchant__bigboxretailer","0.00","125.74","2020-10-06 19:13:00.000","2020-10-06 19:13:00.000","4-6M"
"AFEPCkQDdMU7ViCL48MNrN2pXyTl0WBD","1916","41","38","279.99","5.00","merchant__bigboxretailer","0.00","206.99","2022-06-28 13:39:00.000","2022-06-28 13:39:00.000","1-3M"
"MuyP1RxWtp9ESDax7XsGKklB0uf5rASZ","5794","77","218","323.99","5.00","merchant__clothing","0.00","166.99","2021-02-03 19:42:00.000","2021-02-03 19:42:00.000","4-6M"
"ooqD9gzFbi0tQJvK4Q3dLTRb9L5O4Org","4195","46","5","227.99","8.00","merchant__clothing","0.00","165.99","2022-02-13 14:57:00.000","2022-02-13 14:57:00.000","1-3M"
"rfefUS70ACKYeX8ZjHr8QuOtmBnScv76","4049","24","51","364.99","6.00","merchant__clothing","0.00","184.99","2022-08-28 19:42:00.000","2022-08-28 19:42:00.000","1-3M"
"f6gsTTVyuWBxj80iy2cZXwlnMNVQIisi","1663","26","95","279.99","10.00","merchant__bigboxretailer","0.00","142.99","2022-01-24 13:27:00.000","2022-01-24 13:27:00.000","1-3M"
"LeBmPmYs6dfsamOiWenh1RP1Y9qDB3TP","7700","37","489","726.99","6.00","merchant__clothing","0.00","365.99","2022-08-23 17:46:00.000","2022-08-23 17:46:00.000","1-3M"
"cI1TG9AfmuAfKoIiOXrtuLSbRpRh81et","357","36","34","76.99","4.00","merchant__clothing","0.00","40.99","2022-02-11 10:58:00.000","2022-02-11 10:58:00.000","1-3M"
"dCBLjv8FUHAxhFtF7MFP3ifbnz2pt9cR","3670","4","62","353.99","1.00","merchant__clothing","0.00","179.99","2022-09-30 17:39:00.000","2022-09-30 17:39:00.000","1-3M"
"VCP0NQzC0q5YimqMGKWYQboAMoaEokn2","4730","34","65","279.99","5.00","merchant__clothing","28.00","142.99","2022-08-20 08:50:00.000","2022-08-20 08:50:00.000","1-3M"
"Jw07UTa5Upnsiji7WXoTG0NUmVyH4Ssl","3649","21","59","122.99","10.00","merchant__clothing","0.00","63.99","2022-05-18 16:43:00.000","2022-05-18 16:43:00.000","1-3M"
"namYAniyTYI8akBd2RGXgL4WpOZqCwGP","4470","35","88","83.99","2.00","merchant__bigboxretailer","0.00","43.99","2022-07-24 21:02:00.000","2022-07-24 21:02:00.000","1-3M"
"idBNcGpYpcxM8M3RcUOWuKyq9KseNNtx","1603","62","59","212.99","2.00","merchant__bigboxretailer","0.00","166.24","2020-04-27 15:52:00.000","2020-04-27 15:52:00.000","7M+"
"Hb0awVjFJwQIWVDgFKG3ytZB8i3oOH5P","5734","60","213","280.99","4.00","merchant__clothing","0.00","164.99","2021-02-07 20:55:00.000","2021-02-07 20:55:00.000","4-6M"
"cKAS1clk8WEfpWu3atJomUdI9o5WZ4tb","808","77","120","356.99","10.00","merchant__bigboxretailer","0.00","175.99","2022-05-20 21:20:00.000","2022-05-20 21:20:00.000","4-6M"
"ylm5cMHvaPQMWUCNXC6cLFzgNW6fOjvp","6023","41","238","279.99","3.00","merchant__bigboxretailer","0.00","206.99","2022-01-30 10:04:00.000","2022-01-30 10:04:00.000","7M+"
"XMyKVfeTxyxHSAkHZ4VpS8xLQQP3dvmj","4186","34","98","279.99","9.00","merchant__clothing","0.00","142.99","2022-06-20 16:40:00.000","2022-06-20 16:40:00.000","1-3M"
"JCdkD7YZcSaYI1asjYG7lPNMUTZ90wt7","451","86","108","152.99","4.00","merchant__bigboxretailer","0.00","31.99","2021-11-19 10:43:00.000","2021-11-19 10:43:00.000","7M+"
"jtblTYacz1j225MWatbxK40Mg3QTGmgG","4807","61","66","414.99","1.00","merchant__clothing","0.00","229.99","2021-04-24 21:51:00.000","2021-04-24 21:51:00.000","7M+"
"1SuUjuAXjBBBfNKzLTMxAj7EwILEwyWy","4178","29","98","62.99","8.00","merchant__bigboxretailer","0.00","32.99","2022-10-21 20:52:00.000","2022-10-21 20:52:00.000","1-3M"
"njsxJhx4KKE02AnyawrDryjRq19HRO56","133","4","59","353.99","1.00","merchant__clothing","0.00","179.99","2022-10-14 15:20:00.000","2022-10-14 15:20:00.000","1-3M"
"Nf2zKxj8DsqaKXKyaIRTIYQfqNLJksbj","4745","56","28","510.99","10.00","merchant__bigboxretailer","0.00","288.99","2021-04-29 18:01:00.000","2021-04-29 18:01:00.000","7M+"
"kJQxhkr9FzmSGFb0CZ4tqJ2GYNdhTyO3","3940","6","80","310.99","3.00","merchant__clothing","0.00","157.99","2022-06-26 18:23:00.000","2022-06-26 18:23:00.000","1-3M"
"KNCjtRqostTctSQiWJ3zg69Dzc9LvNVy","7042","26","342","279.99","2.00","merchant__clothing","0.00","142.99","2022-01-31 07:24:00.000","2022-01-31 07:24:00.000","4-6M"
"yxLNYWvPcvVEYCbU5jI7Mm26JgVptmsr","556","36","44","76.99","9.00","merchant__clothing","0.00","40.99","2022-07-21 10:34:00.000","2022-07-21 10:34:00.000","1-3M"
"OWuh2fdKX0pfF0bT2IeOrxZTBmFHchql","4014","47","53","649.99","2.00","merchant__bigboxretailer","0.00","394.99","2022-05-05 22:19:00.000","2022-05-05 22:19:00.000","1-3M"
