"RETURN_ID","ORDER__ORDER_ID","PRODUCT__PRODUCT_ID","CUSTOMER__CUSTOMER_ID","RETURN_UNIT_COST","RETURN_UNIT_QUANTITY","WDF__CLIENT_ID","RETURN_UNIT_PAID_AMOUNT","DATE","RETURN_DATE"
"R-WXPBLRGB","O-9RYCP154","P-O18FAMWA","C-8T52NGV6","34.62","2","merchant__electronics","610.58","2020-12-09 22:10:43","2020-12-09 22:10:43"
"R-YBQ5M49Q","O-PYBVE229","P-SIC3YOWO","C-8T52NGV6","38.92","2","merchant__electronics","107.24","2020-12-09 22:49:09","2020-12-09 22:49:09"
"R-SGG374C3","O-RYXEA32X","P-O8QG4R0Q","C-2KBPRMSE","256.33","4","merchant__clothing","534.69","2020-12-10 13:24:57","2020-12-10 13:24:57"
"R-M38KL5GG","O-O76YOX5I","P-QUFTVSLH","C-JIN86GDQ","622.33","6","merchant__electronics","704.91","2020-12-10 20:40:36","2020-12-10 20:40:36"
"R-3QCCM06D","O-MOUAKF2M","P-1BDW9KUY","C-XFK2CXL6","394.19","10","merchant__bigboxretailer","296.23","2020-12-11 05:09:10","2020-12-11 05:09:10"
"R-6YQZI8XW","O-I4OZDQOY","P-O8QG4R0Q","C-9A15ZWQD","334.12","10","merchant__clothing","496.48","2020-12-11 05:47:03","2020-12-11 05:47:03"
"R-K0ZKE3Y2","O-QTGPLTUC","P-K0PCR4CC","C-047NT4CK","669.23","10","merchant__electronics","482.52","2020-12-11 10:04:44","2020-12-11 10:04:44"
"R-20KOS8SG","O-46Y367D1","P-5H882OOD","C-2KBPRMSE","301.57","7","merchant__clothing","393.76","2020-12-11 13:23:56","2020-12-11 13:23:56"
"R-VBOFW7K8","O-W74MPLZB","P-WN2X1CF5","C-MRLO1HPN","64.65","3","merchant__electronics","347.05","2020-12-11 15:13:31","2020-12-11 15:13:31"
"R-FZ6LF5YJ","O-HM2C5XN4","P-O18FAMWA","C-V56PAAB6","487.57","1","merchant__electronics","428.03","2020-12-11 16:54:09","2020-12-11 16:54:09"
"R-33J0IQG6","O-RYXEA32X","P-47KA7KOD","C-2KBPRMSE","32.61","3","merchant__clothing","110.97","2020-12-11 17:17:38","2020-12-11 17:17:38"
"R-JMZROU4Q","O-B168FID1","P-Q1X1RP1Z","C-TCS613M7","12.99","3","merchant__electronics","133.94","2020-12-11 17:32:10","2020-12-11 17:32:10"
"R-8VVF2FR8","O-0EP4PTKL","P-YC1MRRBK","C-LHGYMQK3","710.48","9","merchant__electronics","720.32","2020-12-11 17:44:05","2020-12-11 17:44:05"
"R-HQE7QJ1E","O-OUMCH63D","P-VN0TD1IK","C-8SZ844N6","178.12","5","merchant__bigboxretailer","203.55","2020-12-11 19:37:04","2020-12-11 19:37:04"
"R-VGY5I36P","O-95UGP2CF","P-Q1X1RP1Z","C-047NT4CK","256.2","1","merchant__electronics","158.89","2020-12-11 21:02:56","2020-12-11 21:02:56"
"R-W7BU8AJA","O-PQRWZKDF","P-O18FAMWA","C-JIN86GDQ","8.26","8","merchant__electronics","66.81","2020-12-11 22:33:36","2020-12-11 22:33:36"
"R-CW9FNYIH","O-QP9WCB01","P-TXJKCDC5","C-6H7JZ60V","405.55","5","merchant__clothing","440.42","2020-12-12 01:12:11","2020-12-12 01:12:11"
"R-H4UW0G10","O-GIYRFNLY","P-J7Z2EX8J","C-8T52NGV6","278.49","10","merchant__electronics","406.34","2020-12-12 06:49:15","2020-12-12 06:49:15"
"R-7A6KPZE0","O-WGL3BWNA","P-2NLD77B8","C-2KBPRMSE","365.89","6","merchant__clothing","290.3","2020-12-12 07:52:11","2020-12-12 07:52:11"
"R-MCECCRXV","O-VCDUKJFU","P-AD7PM1Y1","C-A9U0JXAN","468.92","1","merchant__bigboxretailer","309.26","2020-12-12 09:57:31","2020-12-12 09:57:31"
"R-DRXJ45R7","O-IMDY7OZR","P-B1M0SSDH","C-M5HD975Z","230.35","7","merchant__clothing","573.07","2020-12-12 15:02:48","2020-12-12 15:02:48"
"R-8F5YZQLH","O-YQ9T54YS","P-B1M0SSDH","C-UMIZBN8N","5.16","3","merchant__electronics","10.35","2020-12-12 15:03:15","2020-12-12 15:03:15"
"R-QK2GDGP7","O-HM2C5XN4","P-MC92KDOP","C-V56PAAB6","486.33","5","merchant__electronics","739.0","2020-12-12 15:55:23","2020-12-12 15:55:23"
"R-XQQ5VTYC","O-Q222WBMX","P-G1IT20AC","C-9A15ZWQD","755.65","8","merchant__clothing","943.3","2020-12-12 17:20:12","2020-12-12 17:20:12"
"R-AJGBY19S","O-FQSJAQ8M","P-2NLD77B8","C-6H7JZ60V","982.56","9","merchant__clothing","891.24","2020-12-12 19:47:55","2020-12-12 19:47:55"
"R-O11BFWJ2","O-HM2C5XN4","P-QUFTVSLH","C-V56PAAB6","32.38","10","merchant__electronics","127.97","2020-12-12 19:57:43","2020-12-12 19:57:43"
"R-KG7KRK8K","O-PGJ1CGYZ","P-G6WRY6RD","C-V56PAAB6","6.01","9","merchant__electronics","26.63","2020-12-12 21:15:34","2020-12-12 21:15:34"
"R-9FHURBI8","O-ILO3OAC1","P-KISHUEPI","C-LHGYMQK3","784.51","8","merchant__electronics","835.97","2020-12-13 12:07:56","2020-12-13 12:07:56"
"R-5O2W8B4A","O-0EP4PTKL","P-K0PCR4CC","C-LHGYMQK3","856.21","6","merchant__electronics","836.98","2020-12-13 12:55:36","2020-12-13 12:55:36"
"R-AXW6BB6L","O-B168FID1","P-74XREH0Z","C-TCS613M7","64.5","10","merchant__electronics","301.55","2020-12-13 18:25:36","2020-12-13 18:25:36"
"R-LGI140VH","O-NIOTX2T6","P-CA6LA28M","C-8SZ844N6","571.04","9","merchant__bigboxretailer","453.25","2020-12-13 21:01:26","2020-12-13 21:01:26"
"R-DLWLJNBL","O-9RYCP154","P-LDPRP77V","C-8T52NGV6","100.51","3","merchant__electronics","787.86","2020-12-13 21:27:26","2020-12-13 21:27:26"
"R-X4X0JOLJ","O-95UGP2CF","P-7VP9BGIN","C-047NT4CK","213.5","5","merchant__electronics","311.3","2020-12-13 21:42:00","2020-12-13 21:42:00"
"R-AK1ZW718","O-JJD9BLK3","P-C2R4BL17","C-L09B0IQD","128.44","2","merchant__clothing","826.38","2020-12-14 09:19:57","2020-12-14 09:19:57"
"R-A6PFEE60","O-G8EGJJPE","P-SIC3YOWO","C-MRLO1HPN","205.23","9","merchant__electronics","210.23","2020-12-14 12:09:48","2020-12-14 12:09:48"
"R-X84JZLBE","O-6MM9642C","P-K0PCR4CC","C-C22XYEVX","6.58","6","merchant__electronics","31.55","2020-12-14 12:27:20","2020-12-14 12:27:20"
"R-AMZK3IAG","O-ILO3OAC1","P-1BDW9KUY","C-LHGYMQK3","407.46","2","merchant__electronics","702.32","2020-12-14 16:02:26","2020-12-14 16:02:26"
"R-71E83HSI","O-RYXEA32X","P-ZS0EW3TF","C-2KBPRMSE","235.12","4","merchant__clothing","160.83","2020-12-14 17:52:34","2020-12-14 17:52:34"
"R-JPOQJW96","O-B168FID1","P-K0PCR4CC","C-TCS613M7","241.29","1","merchant__electronics","414.46","2020-12-14 18:14:28","2020-12-14 18:14:28"
"R-JZY96EJX","O-TNJX7POT","P-7VP9BGIN","C-T83J2O6J","484.03","2","merchant__bigboxretailer","314.6","2020-12-15 00:08:56","2020-12-15 00:08:56"
"R-KOYHA9TH","O-QP9WCB01","P-SIC3YOWO","C-6H7JZ60V","234.41","1","merchant__clothing","651.29","2020-12-15 00:33:55","2020-12-15 00:33:55"
"R-ZRXSBQMU","O-QP9WCB01","P-9LJ8LJXI","C-6H7JZ60V","58.98","9","merchant__clothing","47.2","2020-12-15 02:22:18","2020-12-15 02:22:18"
"R-F0HUZ80N","O-NSM8S22N","P-FRJGV0EQ","C-8SZ844N6","512.4","3","merchant__bigboxretailer","750.17","2020-12-15 04:20:59","2020-12-15 04:20:59"
"R-O00659G5","O-7CKK0P46","P-4CTM9S8S","C-B4VMKYEG","87.16","3","merchant__clothing","92.55","2020-12-15 06:20:25","2020-12-15 06:20:25"
"R-WIN86VJ8","O-630FE2MJ","P-J7Z2EX8J","C-8T52NGV6","959.5","1","merchant__electronics","968.36","2020-12-15 09:24:15","2020-12-15 09:24:15"
"R-8RPLJXOA","O-SG48OHQZ","P-OEJYHGYE","C-J3I3DI2C","369.33","7","merchant__bigboxretailer","354.68","2020-12-15 12:33:00","2020-12-15 12:33:00"
"R-MUU1W52W","O-7006Z6OL","P-K0PCR4CC","C-LHGYMQK3","45.17","6","merchant__electronics","75.66","2020-12-15 12:52:34","2020-12-15 12:52:34"
"R-FLTWDQA4","O-IMDY7OZR","P-77A4OOFC","C-M5HD975Z","182.46","2","merchant__clothing","657.25","2020-12-15 14:03:43","2020-12-15 14:03:43"
"R-OFFT1T8S","O-FL17XHAC","P-GK1K2NK8","C-UZ69G6NF","508.52","5","merchant__bigboxretailer","302.49","2020-12-15 17:08:06","2020-12-15 17:08:06"
"R-01ISW673","O-A5QI5F3Q","P-BB7EU34R","C-ZFW2R2FY","322.71","4","merchant__clothing","422.97","2020-12-15 17:24:56","2020-12-15 17:24:56"
"R-YF4WXN3E","O-GKRCBO6X","P-1BDW9KUY","C-JIN86GDQ","112.36","2","merchant__electronics","929.9","2020-12-15 21:10:48","2020-12-15 21:10:48"
"R-52PASSQ5","O-PVO8J21D","P-YC1MRRBK","C-UMIZBN8N","256.51","4","merchant__electronics","295.85","2020-12-15 21:21:37","2020-12-15 21:21:37"
"R-J6F5HELM","O-IKDRSKAE","P-OEJYHGYE","C-6XXJM7UE","172.77","1","merchant__bigboxretailer","669.38","2020-12-16 02:47:39","2020-12-16 02:47:39"
"R-BAUZBMOI","O-7CKK0P46","P-4ARKUBKJ","C-B4VMKYEG","483.6","6","merchant__clothing","491.61","2020-12-16 08:52:08","2020-12-16 08:52:08"
"R-9ZVPSXIP","O-IMDY7OZR","P-O8QG4R0Q","C-M5HD975Z","142.72","5","merchant__clothing","97.29","2020-12-16 13:19:10","2020-12-16 13:19:10"
"R-XDVU9HU5","O-ELGEPIFZ","P-LDPRP77V","C-CJHP9H80","469.07","7","merchant__electronics","362.05","2020-12-16 14:06:47","2020-12-16 14:06:47"
"R-GPHK1CPY","O-Y9NGU4C9","P-FNZ1A25H","C-6XXJM7UE","41.39","6","merchant__bigboxretailer","250.45","2020-12-16 14:54:31","2020-12-16 14:54:31"
"R-9LIGK22J","O-VCDUKJFU","P-7VP9BGIN","C-A9U0JXAN","267.24","6","merchant__bigboxretailer","791.39","2020-12-16 16:11:04","2020-12-16 16:11:04"
"R-FYSV8ARS","O-PGJ1CGYZ","P-KISHUEPI","C-V56PAAB6","742.53","5","merchant__electronics","622.17","2020-12-16 16:33:06","2020-12-16 16:33:06"
"R-Y6I2PIBF","O-SPY1EE8X","P-1EQN9HY7","C-2TKBOWLN","629.53","10","merchant__bigboxretailer","681.29","2020-12-16 17:21:42","2020-12-16 17:21:42"
"R-6LU8R3JU","O-T7FHLNFK","P-KPAYZLD4","C-L09B0IQD","6.42","5","merchant__clothing","3.09","2020-12-16 17:57:24","2020-12-16 17:57:24"
"R-13T45KVQ","O-B168FID1","P-ZGQE0EX9","C-TCS613M7","517.07","2","merchant__electronics","531.15","2020-12-16 18:11:45","2020-12-16 18:11:45"
"R-6RX82G45","O-GKRCBO6X","P-ZGQE0EX9","C-JIN86GDQ","589.26","5","merchant__electronics","661.73","2020-12-16 18:18:51","2020-12-16 18:18:51"
"R-L9OVV1AJ","O-PGJ1CGYZ","P-MC92KDOP","C-V56PAAB6","375.07","3","merchant__electronics","448.04","2020-12-16 18:45:42","2020-12-16 18:45:42"
"R-MKVSB0S4","O-UORC519X","P-8DHFY8A8","C-2KBPRMSE","373.33","5","merchant__clothing","316.87","2020-12-16 19:53:52","2020-12-16 19:53:52"
"R-O8JRZBPU","O-9REREZX0","P-YRENW3K6","C-6XXJM7UE","16.76","5","merchant__bigboxretailer","188.73","2020-12-16 20:54:40","2020-12-16 20:54:40"
"R-3BIQSAMR","O-7MCT1XTX","P-G6WRY6RD","C-V56PAAB6","373.24","10","merchant__electronics","730.11","2020-12-17 12:35:09","2020-12-17 12:35:09"
"R-FIWMB99R","O-O76YOX5I","P-ZGQE0EX9","C-JIN86GDQ","179.11","5","merchant__electronics","345.25","2020-12-17 12:52:37","2020-12-17 12:52:37"
"R-16VNFQAI","O-P2YE9KLN","P-MC92KDOP","C-MRLO1HPN","49.36","9","merchant__electronics","147.15","2020-12-17 12:54:35","2020-12-17 12:54:35"
"R-GSJ3NQ3E","O-NIOTX2T6","P-NLQEVLSE","C-8SZ844N6","67.05","6","merchant__bigboxretailer","468.87","2020-12-17 21:25:25","2020-12-17 21:25:25"
"R-TUS4AYFG","O-G8EGJJPE","P-Q61CBJBH","C-MRLO1HPN","307.53","3","merchant__electronics","422.75","2020-12-17 21:28:51","2020-12-17 21:28:51"
"R-Q83W8W3E","O-47SNR4JP","P-47KA7KOD","C-4NWLW13S","53.95","4","merchant__electronics","54.03","2020-12-17 21:36:06","2020-12-17 21:36:06"
"R-BQYF9S8A","O-I4OZDQOY","P-RPCRM8LD","C-9A15ZWQD","44.76","3","merchant__clothing","78.68","2020-12-18 04:46:02","2020-12-18 04:46:02"
"R-C5WUVAOR","O-630FE2MJ","P-SIC3YOWO","C-8T52NGV6","247.37","9","merchant__electronics","518.26","2020-12-18 07:12:12","2020-12-18 07:12:12"
"R-RRK7YMM0","O-H8ABJ5L3","P-Q1X1RP1Z","C-D4890TPL","257.52","2","merchant__clothing","694.02","2020-12-18 15:22:06","2020-12-18 15:22:06"
"R-FXK04A3P","O-MYP0WAIQ","P-OEJYHGYE","C-475KJ7QE","179.15","1","merchant__bigboxretailer","246.07","2020-12-18 16:00:19","2020-12-18 16:00:19"
"R-S3GHEXBB","O-MYP0WAIQ","P-J7Z2EX8J","C-475KJ7QE","42.96","7","merchant__bigboxretailer","89.07","2020-12-18 18:03:42","2020-12-18 18:03:42"
"R-SC24LTR9","O-P2YE9KLN","P-FUVYRAZC","C-MRLO1HPN","584.15","5","merchant__electronics","535.19","2020-12-18 21:01:12","2020-12-18 21:01:12"
"R-R5V6X3IC","O-819ARP9R","P-FSO5WD5T","C-047NT4CK","37.43","10","merchant__electronics","30.68","2020-12-19 10:05:54","2020-12-19 10:05:54"
"R-0TC332RD","O-5W7H1YB3","P-LDPRP77V","C-8D6EFU22","281.92","1","merchant__electronics","327.37","2020-12-19 10:32:52","2020-12-19 10:32:52"
"R-8UX1HGM8","O-TWQJOUD7","P-G1IT20AC","C-F5ULQQCV","4.58","3","merchant__bigboxretailer","14.4","2020-12-19 11:26:46","2020-12-19 11:26:46"
"R-PG52KCWK","O-O53S0QEH","P-CA6LA28M","C-WAIANDKM","553.72","3","merchant__bigboxretailer","422.43","2020-12-19 12:05:06","2020-12-19 12:05:06"
"R-A2UDT27P","O-IMDY7OZR","P-K52WD4BA","C-M5HD975Z","449.11","3","merchant__clothing","622.99","2020-12-19 13:01:26","2020-12-19 13:01:26"
"R-ACK9WGXY","O-IMDY7OZR","P-HC6MXSUJ","C-M5HD975Z","832.69","7","merchant__clothing","629.18","2020-12-19 13:26:59","2020-12-19 13:26:59"
"R-23L7M0CN","O-1TDVT55P","P-77A4OOFC","C-L09B0IQD","312.66","8","merchant__clothing","369.73","2020-12-19 13:47:01","2020-12-19 13:47:01"
"R-LQR5Y21L","O-BMOLRB8L","P-YC1MRRBK","C-UUUASPRV","302.2","5","merchant__electronics","327.57","2020-12-19 18:48:50","2020-12-19 18:48:50"
"R-JZKBFATM","O-CH5A3TXW","P-FSO5WD5T","C-UMIZBN8N","2.8","8","merchant__electronics","311.63","2020-12-19 19:15:10","2020-12-19 19:15:10"
"R-RVTBHULJ","O-Z6OK6BN1","P-K0PCR4CC","C-OZYSI6QK","51.04","8","merchant__electronics","148.04","2020-12-19 22:11:46","2020-12-19 22:11:46"
"R-E50IG6GG","O-4SBNEM0B","P-Q61CBJBH","C-047NT4CK","794.45","10","merchant__electronics","564.43","2020-12-19 22:27:20","2020-12-19 22:27:20"
"R-ZIK12MQX","O-QDL7CLPG","P-74XREH0Z","C-8D6EFU22","279.28","2","merchant__electronics","438.05","2020-12-20 08:06:38","2020-12-20 08:06:38"
"R-Q3WZC6T7","O-BNTQMKNS","P-K0PCR4CC","C-LHGYMQK3","428.84","3","merchant__electronics","401.34","2020-12-20 10:58:16","2020-12-20 10:58:16"
"R-KB69551D","O-Y9NGU4C9","P-64YLUWJT","C-6XXJM7UE","270.46","10","merchant__bigboxretailer","206.4","2020-12-20 11:33:04","2020-12-20 11:33:04"
"R-H24TADS7","O-819ARP9R","P-B1M0SSDH","C-047NT4CK","73.96","3","merchant__electronics","461.22","2020-12-20 11:34:35","2020-12-20 11:34:35"
"R-9160BG8R","O-Y9NGU4C9","P-GK1K2NK8","C-6XXJM7UE","152.03","5","merchant__bigboxretailer","379.18","2020-12-20 13:06:19","2020-12-20 13:06:19"
"R-3XYC54U0","O-IQ7ZD46W","P-MC92KDOP","C-MRLO1HPN","10.88","10","merchant__electronics","13.29","2020-12-21 00:27:07","2020-12-21 00:27:07"
"R-X0JNBNJ7","O-IQ7ZD46W","P-FUVYRAZC","C-MRLO1HPN","124.66","6","merchant__electronics","140.65","2020-12-21 02:10:27","2020-12-21 02:10:27"
"R-HE5XRGHU","O-IKDRSKAE","P-4T8TMC57","C-6XXJM7UE","12.04","7","merchant__bigboxretailer","453.75","2020-12-21 03:53:13","2020-12-21 03:53:13"
"R-PWU5K7I0","O-O53S0QEH","P-LDPRP77V","C-WAIANDKM","260.31","3","merchant__bigboxretailer","802.13","2020-12-21 08:13:56","2020-12-21 08:13:56"
"R-LSITSNTM","O-SRVMWEPT","P-EAQPL26T","C-QYPBR72D","206.79","5","merchant__clothing","296.77","2020-12-21 09:15:49","2020-12-21 09:15:49"
"R-6F3QB9D2","O-G7LSYE8M","P-YRENW3K6","C-UUUASPRV","102.87","4","merchant__electronics","422.92","2020-12-21 10:29:34","2020-12-21 10:29:34"
"R-DM5YARMD","O-4SBNEM0B","P-WN2X1CF5","C-047NT4CK","36.48","2","merchant__electronics","241.01","2020-12-21 12:01:06","2020-12-21 12:01:06"
"R-K8Z3WCWO","O-6FAYTL92","P-K3MNXYJP","C-AM5WV0VB","203.51","2","merchant__electronics","437.59","2020-12-21 15:32:54","2020-12-21 15:32:54"
"R-R2AOOEPF","O-4SBNEM0B","P-QUFTVSLH","C-047NT4CK","168.4","9","merchant__electronics","153.72","2020-12-21 22:00:49","2020-12-21 22:00:49"
"R-SFP918WX","O-IKDRSKAE","P-T3C56OVK","C-6XXJM7UE","534.9","8","merchant__bigboxretailer","458.16","2020-12-22 01:18:29","2020-12-22 01:18:29"
"R-L2ZAY2MN","O-O5U1AK28","P-FSO5WD5T","C-NSWO0LJ8","99.16","4","merchant__bigboxretailer","645.71","2020-12-22 06:13:11","2020-12-22 06:13:11"
"R-5B0U1N0X","O-7CKK0P46","P-O18FAMWA","C-B4VMKYEG","79.38","5","merchant__clothing","63.4","2020-12-22 07:31:31","2020-12-22 07:31:31"
"R-MKHFODJV","O-LGNDLVC0","P-1EQN9HY7","C-XFK2CXL6","220.26","8","merchant__bigboxretailer","806.09","2020-12-22 08:11:04","2020-12-22 08:11:04"
"R-YQ4X94EP","O-WE02AXQ2","P-74XREH0Z","C-MO8PYLLH","463.25","5","merchant__electronics","905.69","2020-12-22 08:39:06","2020-12-22 08:39:06"
"R-4BJJML7B","O-WLUT82KX","P-0DDRFK8E","C-NSWO0LJ8","39.13","1","merchant__bigboxretailer","56.35","2020-12-22 08:40:42","2020-12-22 08:40:42"
"R-A1B28BQ3","O-FL17XHAC","P-FRJGV0EQ","C-UZ69G6NF","86.09","2","merchant__bigboxretailer","84.4","2020-12-22 09:42:42","2020-12-22 09:42:42"
"R-UW8ECQCO","O-SRVMWEPT","P-YC1MRRBK","C-QYPBR72D","3.09","10","merchant__clothing","2.4","2020-12-22 12:11:11","2020-12-22 12:11:11"
"R-8FXT9NCQ","O-ELGEPIFZ","P-WN2X1CF5","C-CJHP9H80","450.74","10","merchant__electronics","521.74","2020-12-22 15:14:35","2020-12-22 15:14:35"
"R-W0HLQ0FC","O-M4D74NE4","P-1BDW9KUY","C-Z9B1YWX9","696.53","2","merchant__electronics","960.33","2020-12-22 17:26:16","2020-12-22 17:26:16"
"R-25GLLMO8","O-47SNR4JP","P-SIC3YOWO","C-4NWLW13S","295.48","3","merchant__electronics","486.24","2020-12-22 17:57:29","2020-12-22 17:57:29"
"R-KVS75QBP","O-O53S0QEH","P-OM82D4RX","C-WAIANDKM","273.51","5","merchant__bigboxretailer","341.81","2020-12-22 18:07:26","2020-12-22 18:07:26"
"R-WAJSERMR","O-7Q468HRV","P-0ZZYT3W4","C-1L3XA76I","279.63","9","merchant__electronics","491.73","2020-12-22 19:04:02","2020-12-22 19:04:02"
"R-GZJDHDO8","O-G52O8CB9","P-OEJYHGYE","C-0SPGDRDN","374.17","4","merchant__bigboxretailer","982.67","2020-12-22 21:45:41","2020-12-22 21:45:41"
"R-JJ1I9Y2U","O-XOK89PRY","P-O18FAMWA","C-1HUT7XEB","419.09","1","merchant__electronics","426.6","2020-12-22 21:49:04","2020-12-22 21:49:04"
"R-FGK65EQK","O-7MCT1XTX","P-K3MNXYJP","C-V56PAAB6","208.19","1","merchant__electronics","334.0","2020-12-22 21:51:35","2020-12-22 21:51:35"
"R-W8YYRWEO","O-WLUT82KX","P-LDPRP77V","C-NSWO0LJ8","111.61","1","merchant__bigboxretailer","138.05","2020-12-22 21:53:11","2020-12-22 21:53:11"
"R-XSFL3FGK","O-TVW6U09P","P-LDPRP77V","C-6F5HTCSP","155.06","3","merchant__electronics","166.36","2020-12-23 03:22:46","2020-12-23 03:22:46"
"R-U5XF8GPR","O-O5U1AK28","P-T3C56OVK","C-NSWO0LJ8","158.92","10","merchant__bigboxretailer","150.43","2020-12-23 07:17:45","2020-12-23 07:17:45"
"R-1OQVXI3M","O-LGNDLVC0","P-FRJGV0EQ","C-XFK2CXL6","30.96","1","merchant__bigboxretailer","27.95","2020-12-23 09:22:04","2020-12-23 09:22:04"
"R-D9J813XV","O-SPY1EE8X","P-OEJYHGYE","C-2TKBOWLN","10.84","10","merchant__bigboxretailer","143.06","2020-12-23 12:08:20","2020-12-23 12:08:20"
"R-4N2YOSY1","O-ELGEPIFZ","P-YRENW3K6","C-CJHP9H80","511.98","6","merchant__electronics","585.2","2020-12-23 13:28:28","2020-12-23 13:28:28"
