"ORDER_ID","WDF__CLIENT_ID","ORDER_STATUS"
"O-G4MXBF12","merchant__bigboxretailer","Processed"
"O-LYGM9A20","merchant__electronics","Processed"
"O-BNH2P2EB","merchant__clothing","Processed"
"O-ORFF73FC","merchant__clothing","In Cart"
"O-22YM4GOF","merchant__electronics","Processed"
"O-DEFC25BC","merchant__electronics","Processed"
"O-72IZYR9N","merchant__clothing","Processed"
"O-7Q941L8F","merchant__clothing","Processed"
"O-DZYP1MA9","merchant__bigboxretailer","Processed"
"O-BE3HZBL0","merchant__clothing","Processed"
"O-V6QFR44R","merchant__clothing","Processed"
"O-TUL4EOA9","merchant__bigboxretailer","Processed"
"O-N962RZUD","merchant__clothing","Processed"
"O-XG9FCJRM","merchant__electronics","Processed"
"O-GNNGSEDW","merchant__bigboxretailer","Processed"
"O-4B43QB4S","merchant__clothing","Canceled"
"O-LG9B9LQO","merchant__bigboxretailer","Processed"
"O-EG4BY22O","merchant__electronics","Processed"
"O-6GBJW935","merchant__bigboxretailer","Processed"
"O-KCNVZNMU","merchant__bigboxretailer","Processed"
"O-VQJXJ9UD","merchant__bigboxretailer","Canceled"
"O-0K0TCTPX","merchant__electronics","Processed"
"O-K50HCVRM","merchant__electronics","Processed"
"O-C3HVM7UA","merchant__clothing","Canceled"
"O-FZAIUVUK","merchant__clothing","Processed"
"O-T9CJPC7E","merchant__electronics","Processed"
"O-27Z8EN9K","merchant__bigboxretailer","Processed"
"O-HVITMC40","merchant__bigboxretailer","Processed"
"O-MG9NKVD4","merchant__clothing","Processed"
"O-7JXNA3FL","merchant__bigboxretailer","Processed"
"O-RTESXN3V","merchant__bigboxretailer","Processed"
"O-C1SSGDGT","merchant__electronics","Canceled"
"O-SP3LFX5K","merchant__electronics","In Cart"
"O-5SKKKX4K","merchant__clothing","Processed"
"O-GJOLZBOD","merchant__clothing","Processed"
"O-MCZAK915","merchant__clothing","Canceled"
"O-A9VEP562","merchant__clothing","Processed"
"O-Y5RZEGDP","merchant__bigboxretailer","Processed"
"O-9EUKKXGK","merchant__electronics","Processed"
"O-PGDY9XPV","merchant__electronics","Processed"
"O-VNUOSXNL","merchant__bigboxretailer","Processed"
"O-1ZI1ZM8I","merchant__electronics","Processed"
"O-YEM4SP8P","merchant__electronics","Processed"
"O-XD1QQLS2","merchant__clothing","In Cart"
"O-M5WVLIID","merchant__bigboxretailer","Processed"
"O-D6PNZDGI","merchant__clothing","Processed"
"O-JK19ASSU","merchant__electronics","Processed"
"O-WYI5HXWU","merchant__bigboxretailer","Processed"
"O-Q9KIEUJQ","merchant__bigboxretailer","Canceled"
"O-JH19XIG0","merchant__bigboxretailer","In Cart"
"O-EQUHNGPX","merchant__electronics","Processed"
"O-OH9KXXDQ","merchant__clothing","Processed"
"O-ZJUE9AVJ","merchant__electronics","Processed"
"O-QHZ12VUS","merchant__clothing","Processed"
"O-51Y9A0AH","merchant__electronics","Processed"
"O-VIGT8VML","merchant__electronics","Canceled"
"O-EXKEXBD7","merchant__clothing","Processed"
"O-WB3AOXZV","merchant__bigboxretailer","Processed"
"O-1UMMEN9A","merchant__bigboxretailer","Processed"
"O-DASLIRGY","merchant__clothing","Processed"
"O-UVD8GXJS","merchant__electronics","Processed"
"O-J4AC8YZJ","merchant__electronics","Processed"
"O-U637FTR2","merchant__clothing","Processed"
"O-V0X6DG1O","merchant__bigboxretailer","Processed"
"O-LOKFONEY","merchant__electronics","Processed"
"O-ODPA4OFU","merchant__clothing","Processed"
"O-DV31N6GL","merchant__electronics","Processed"
"O-W642SSAW","merchant__electronics","Processed"
"O-PVFCY8YB","merchant__bigboxretailer","Processed"
"O-W89S2HJ6","merchant__bigboxretailer","Processed"
"O-YR667578","merchant__electronics","Processed"
"O-A33HWXQN","merchant__bigboxretailer","Processed"
"O-92OWS86A","merchant__electronics","Processed"
"O-2954N1AW","merchant__clothing","Processed"
"O-CBMIKGAA","merchant__bigboxretailer","Processed"
"O-9LF1OIJ1","merchant__clothing","Processed"
"O-XVW5JZIF","merchant__clothing","Processed"
"O-NUPSFK9M","merchant__bigboxretailer","Processed"
"O-QRC6XPVL","merchant__clothing","Processed"
"O-5BVI5VCS","merchant__electronics","Processed"
"O-LFOUO20C","merchant__bigboxretailer","Processed"
"O-CL6CL5XW","merchant__electronics","Processed"
"O-FMGN16BQ","merchant__electronics","Processed"
"O-GRKDPD4L","merchant__clothing","Processed"
"O-I3M2TXMT","merchant__electronics","Processed"
"O-U0L327RW","merchant__clothing","Processed"
"O-G8Y0L54B","merchant__clothing","Canceled"
"O-U27HVF8Y","merchant__electronics","Processed"
"O-Y1OCMC59","merchant__electronics","Processed"
"O-SKF5JRO6","merchant__electronics","Processed"
"O-TGTPKCGL","merchant__bigboxretailer","Processed"
"O-GPD21VWE","merchant__bigboxretailer","Processed"
"O-SAOKAS10","merchant__clothing","Processed"
"O-NW4B8DTG","merchant__bigboxretailer","Processed"
"O-SCOT19FX","merchant__clothing","Processed"
"O-83DTFLP5","merchant__bigboxretailer","Canceled"
"O-J680XHNW","merchant__clothing","Processed"
"O-4W1VMSS3","merchant__clothing","Processed"
"O-91B9WIQM","merchant__clothing","Processed"
"O-9V9KVS8I","merchant__electronics","Processed"
"O-NC4BCL66","merchant__bigboxretailer","Processed"
"O-VATPLMBP","merchant__bigboxretailer","Processed"
"O-WPREQ48N","merchant__electronics","In Cart"
"O-1OT1SI4D","merchant__bigboxretailer","Processed"
"O-313051ZR","merchant__clothing","Processed"
"O-AUG77Z1C","merchant__electronics","Processed"
"O-4ECO5YHV","merchant__bigboxretailer","Processed"
"O-SVFYEO9Y","merchant__clothing","Processed"
"O-1N52PUWH","merchant__electronics","Processed"
"O-X8CCB97H","merchant__bigboxretailer","Processed"
"O-63V6L6U0","merchant__electronics","Canceled"
"O-6UM7RYAD","merchant__bigboxretailer","Processed"
"O-FJWYSTX1","merchant__bigboxretailer","Processed"
"O-KI3VJDWJ","merchant__clothing","Processed"
"O-Y10SI8RX","merchant__clothing","In Cart"
"O-HSYNKMWC","merchant__bigboxretailer","Processed"
"O-57ZXDSEG","merchant__bigboxretailer","In Cart"
"O-5KL9BHY5","merchant__electronics","Processed"
"O-UYLIEMW6","merchant__clothing","Processed"
"O-OYCM8K94","merchant__electronics","Processed"
"O-YFZ1IJYU","merchant__electronics","Processed"
"O-2IDX4PIP","merchant__electronics","Processed"
"O-ZFSST259","merchant__clothing","Processed"
"O-RBNWSPIJ","merchant__clothing","Processed"
"O-4R6QGFVB","merchant__bigboxretailer","Processed"
"O-CRDJW9F0","merchant__bigboxretailer","Processed"
"O-V35Y05LH","merchant__electronics","Processed"
"O-A498ME90","merchant__electronics","Processed"
"O-ODI75MOG","merchant__electronics","Processed"
"O-DDUT463F","merchant__electronics","Canceled"
"O-X0LJ906Y","merchant__clothing","Processed"
"O-SG1EC34D","merchant__clothing","In Cart"
"O-IW9M1XLE","merchant__bigboxretailer","Processed"
"O-LB9YWGFR","merchant__clothing","Canceled"
"O-K6LPCAIV","merchant__clothing","Processed"
"O-C476UNAG","merchant__clothing","Processed"
"O-FU5643XD","merchant__bigboxretailer","Processed"
"O-XOMLEMNN","merchant__electronics","Processed"
"O-65II4KVB","merchant__electronics","Processed"
"O-CDB1FL2J","merchant__clothing","Processed"
"O-L08UE96K","merchant__electronics","Processed"
"O-RJ4AF2S6","merchant__bigboxretailer","Processed"
"O-3RJN4LST","merchant__electronics","Processed"
"O-XGCT4WNQ","merchant__bigboxretailer","Processed"
"O-1TBN3CQE","merchant__bigboxretailer","Processed"
"O-QPT9UQSK","merchant__bigboxretailer","Processed"
"O-OQ7ELPCD","merchant__electronics","Processed"
"O-MK92S6YZ","merchant__electronics","Processed"
"O-U7Q07KOL","merchant__clothing","Processed"
"O-I4YJ23I1","merchant__clothing","Processed"
"O-14W7N7X4","merchant__clothing","Processed"
"O-68V905S4","merchant__clothing","Processed"
"O-NCX63TRH","merchant__bigboxretailer","Processed"
"O-9YFF2WTF","merchant__bigboxretailer","Processed"
"O-DMF0C4CZ","merchant__electronics","Processed"
"O-8XOMIZ63","merchant__clothing","Processed"
"O-MXNNNOXK","merchant__electronics","Processed"
"O-ZZXJIS03","merchant__bigboxretailer","Processed"
"O-GK4UMBYA","merchant__electronics","Processed"
"O-SBOFOEC9","merchant__bigboxretailer","Processed"
"O-9UKV4EGJ","merchant__bigboxretailer","Processed"
"O-Q7UUPMO1","merchant__bigboxretailer","Processed"
"O-2VLJJ2HC","merchant__bigboxretailer","Processed"
"O-QWH6L4P6","merchant__bigboxretailer","Processed"
"O-OT5KHG1Q","merchant__clothing","Processed"
"O-U7HG0E4O","merchant__electronics","Processed"
"O-P2KQ6X4D","merchant__clothing","Processed"
"O-MVMENYR7","merchant__bigboxretailer","Processed"
"O-44JWNKJV","merchant__bigboxretailer","Processed"
"O-8UUKJJCI","merchant__clothing","Processed"
"O-AMSKI7JN","merchant__clothing","Processed"
"O-U3LKXBJ0","merchant__clothing","Processed"
"O-E07VXSOD","merchant__clothing","Processed"
"O-P6TVDTFN","merchant__clothing","Processed"
"O-NZ6GKKE2","merchant__bigboxretailer","Processed"
"O-PHA51BNL","merchant__electronics","Processed"
"O-E2WYJCXP","merchant__clothing","In Cart"
"O-0IAIPN64","merchant__electronics","Processed"
"O-H71IP5UN","merchant__clothing","Processed"
"O-67JYM37O","merchant__clothing","Processed"
"O-WYUN6PY7","merchant__bigboxretailer","Processed"
"O-NWU7BY7I","merchant__clothing","Processed"
"O-XQFXGJSG","merchant__bigboxretailer","Canceled"
"O-1Q6O7K0I","merchant__clothing","Processed"
"O-9W83ODWP","merchant__electronics","Processed"
"O-WOW90G6N","merchant__clothing","Processed"
"O-2G9QQ3IH","merchant__clothing","Canceled"
"O-62YYS2R1","merchant__electronics","Processed"
"O-8JOOEIK4","merchant__electronics","Processed"
"O-VDLAXP2G","merchant__clothing","Processed"
"O-S614FSUM","merchant__clothing","Processed"
"O-TBSO3ER6","merchant__bigboxretailer","Processed"
"O-9E8Q9KY2","merchant__electronics","Processed"
"O-U9TP6E11","merchant__clothing","Processed"
"O-4SKREUFM","merchant__clothing","Processed"
"O-4GJ4N8RE","merchant__bigboxretailer","Processed"
"O-9Z18TI61","merchant__electronics","Processed"
"O-4G02N9GQ","merchant__electronics","Canceled"
"O-V6PZ4NMK","merchant__clothing","Processed"
"O-VZAOFAG5","merchant__electronics","Processed"
"O-22WTPKX0","merchant__clothing","Processed"
"O-QCZQOM82","merchant__electronics","Processed"
"O-06XZ6YZ1","merchant__bigboxretailer","Processed"
"O-P6S2YHG8","merchant__electronics","In Cart"
"O-6XVIGEZE","merchant__electronics","Processed"
"O-GLX9WX5V","merchant__electronics","Processed"
"O-X3ZEF76D","merchant__bigboxretailer","Processed"
"O-BW0AGW5A","merchant__electronics","Processed"
"O-PK6DP7ZU","merchant__clothing","Processed"
"O-GSHXRMYZ","merchant__clothing","Processed"
"O-0X4QLMXB","merchant__bigboxretailer","Processed"
"O-ZN075IHG","merchant__clothing","Canceled"
"O-ZGHVA9DH","merchant__clothing","Processed"
"O-OWKIDBE2","merchant__clothing","Processed"
"O-5OF024UN","merchant__bigboxretailer","Processed"
"O-2U48EOPZ","merchant__clothing","Processed"
"O-LT58LFDW","merchant__clothing","Canceled"
"O-0UHXRXSP","merchant__bigboxretailer","Processed"
"O-Z338PIWM","merchant__clothing","Processed"
"O-LRPMEK39","merchant__bigboxretailer","In Cart"
"O-3NNPGYFJ","merchant__electronics","Processed"
"O-GOE743AU","merchant__clothing","Processed"
"O-0YMJT63Q","merchant__bigboxretailer","Canceled"
"O-DQ0EWYXV","merchant__bigboxretailer","Processed"
"O-HUHSPF03","merchant__clothing","Processed"
"O-66DCOG3J","merchant__clothing","Processed"
"O-RG2JI1XC","merchant__electronics","Processed"
"O-CV5WFLJT","merchant__electronics","Processed"
"O-2DEDV0LO","merchant__clothing","Processed"
"O-ME29K746","merchant__electronics","Processed"
"O-AUZI44MX","merchant__bigboxretailer","Processed"
"O-29HYBBQE","merchant__electronics","Processed"
"O-7QOAUX6Q","merchant__clothing","Processed"
"O-30W44J4Q","merchant__bigboxretailer","Processed"
"O-BKG1SDYW","merchant__bigboxretailer","Processed"
"O-1F6RE9WR","merchant__electronics","Processed"
"O-132VQLY9","merchant__bigboxretailer","Processed"
"O-PISSP0GY","merchant__electronics","Processed"
"O-RNM51MPS","merchant__clothing","Processed"
"O-YQS2H9CD","merchant__electronics","Processed"
"O-BB8OQANM","merchant__clothing","Canceled"
"O-OLPGW5OH","merchant__clothing","Processed"
"O-0D7CAGLR","merchant__bigboxretailer","Canceled"
"O-466LDSCZ","merchant__clothing","Canceled"
"O-Q9DXAPKH","merchant__bigboxretailer","Processed"
"O-OD0Q2UH7","merchant__electronics","Processed"
"O-WHU3W5LN","merchant__bigboxretailer","Processed"
"O-UMIH6G0E","merchant__clothing","Processed"
"O-XSMNPJP0","merchant__bigboxretailer","Processed"
"O-39B7R0SY","merchant__bigboxretailer","Processed"
"O-JG22E1TD","merchant__clothing","Processed"
"O-AVGIVWTQ","merchant__clothing","Processed"
"O-0ZKMFQY6","merchant__bigboxretailer","Processed"
"O-C5XG417Y","merchant__bigboxretailer","Processed"
"O-57X8UAJX","merchant__bigboxretailer","Processed"
"O-HM7I3XAY","merchant__clothing","Processed"
"O-MPLXPDJO","merchant__electronics","Processed"
"O-7RDNKZ4G","merchant__clothing","In Cart"
"O-1H3O1TH2","merchant__clothing","Processed"
"O-RPFUSU3G","merchant__bigboxretailer","In Cart"
"O-RTZ5470K","merchant__clothing","In Cart"
"O-UXPD6UBH","merchant__bigboxretailer","In Cart"
"O-QW5JOA07","merchant__electronics","Processed"
"O-2CZ2M0QE","merchant__electronics","Processed"
"O-PJL8S5DW","merchant__electronics","Processed"
"O-MWGE8NZQ","merchant__bigboxretailer","Processed"
"O-KWAQVYM9","merchant__bigboxretailer","Processed"
"O-IJ08FL3G","merchant__bigboxretailer","Processed"
"O-FPDVS4YU","merchant__electronics","Processed"
"O-CDSNIG3V","merchant__electronics","Processed"
"O-VUANG4KQ","merchant__bigboxretailer","Processed"
"O-0OEFFGIG","merchant__clothing","Processed"
"O-P1B3UIIC","merchant__bigboxretailer","Processed"
"O-NC6E8R5F","merchant__electronics","Processed"
"O-FVNADFH9","merchant__electronics","Canceled"
"O-4Q34YF2I","merchant__clothing","Processed"
"O-PW0TILZL","merchant__clothing","Processed"
"O-YBQQVC3F","merchant__bigboxretailer","Processed"
"O-2X744QUU","merchant__electronics","Processed"
"O-L8PQO6MP","merchant__bigboxretailer","Processed"
"O-6CJD4G1W","merchant__clothing","Processed"
"O-87O7A9TT","merchant__clothing","Processed"
"O-DATWPXPC","merchant__bigboxretailer","Processed"
"O-MR08ZB99","merchant__clothing","Processed"
"O-K9ENOCJS","merchant__electronics","In Cart"
"O-IYH1RG4M","merchant__clothing","Processed"
"O-9T22GNUD","merchant__clothing","Processed"
"O-J0ONF7PC","merchant__clothing","Processed"
"O-UUQGYHA1","merchant__clothing","Processed"
"O-KSUP0OTD","merchant__electronics","Processed"
"O-ZXYTU8NH","merchant__bigboxretailer","Processed"
"O-1D1PJQB6","merchant__electronics","Processed"
"O-73H39567","merchant__bigboxretailer","Processed"
"O-CLMB1P0X","merchant__bigboxretailer","Processed"
"O-QDVTXXD3","merchant__electronics","Processed"
"O-4XJGA3NO","merchant__electronics","Processed"
"O-QIG41F7B","merchant__bigboxretailer","Processed"
"O-8B7EHS6U","merchant__electronics","Processed"
"O-GWH1RFWD","merchant__electronics","Processed"
"O-Z9694UO0","merchant__bigboxretailer","Processed"
"O-TIT6IN92","merchant__electronics","Processed"
"O-BLHKAGW6","merchant__electronics","Processed"
"O-83WZZ3BN","merchant__bigboxretailer","Processed"
"O-4E3K8AMH","merchant__electronics","Processed"
"O-X2MSGHFB","merchant__electronics","Processed"
"O-6QGA9DQA","merchant__electronics","Processed"
"O-VU9KCUWT","merchant__electronics","Processed"
"O-TCXDVXV1","merchant__electronics","Processed"
"O-VBNR955R","merchant__electronics","Processed"
"O-NOCPC8A1","merchant__electronics","Processed"
"O-TK4MWM9C","merchant__electronics","Processed"
"O-0GTMZSNY","merchant__electronics","Processed"
"O-645N9OTQ","merchant__electronics","Processed"
"O-0JFWM85N","merchant__clothing","Processed"
"O-8PVPXB1V","merchant__electronics","Processed"
"O-9M8E1M9G","merchant__electronics","Processed"
"O-23VUARZH","merchant__electronics","In Cart"
"O-H0DPNKIP","merchant__bigboxretailer","In Cart"
"O-5TTFFZFA","merchant__bigboxretailer","Processed"
"O-K307BJ2O","merchant__electronics","Processed"
"O-NT3APIPO","merchant__electronics","Processed"
"O-DL98MHQI","merchant__electronics","Processed"
"O-GYEN6PCI","merchant__electronics","Canceled"
"O-H86D431S","merchant__electronics","Processed"
"O-L6CDMWHQ","merchant__electronics","Processed"
"O-9HUSK9ZZ","merchant__bigboxretailer","Processed"
"O-91TRF43X","merchant__electronics","Processed"
"O-RIJRB6BY","merchant__bigboxretailer","Processed"
"O-Z33BDJTF","merchant__electronics","Canceled"
"O-OVX1CFDD","merchant__bigboxretailer","Processed"
"O-KJKSB471","merchant__bigboxretailer","Processed"
"O-YSH8SO49","merchant__electronics","Processed"
"O-WSDBYYSJ","merchant__electronics","Processed"
"O-SQP0LNZL","merchant__bigboxretailer","Processed"
"O-4GJLV9VY","merchant__bigboxretailer","Processed"
"O-JTD6A052","merchant__bigboxretailer","Processed"
"O-GKYXS4L4","merchant__electronics","Processed"
"O-4S4SMPZ0","merchant__electronics","Processed"
"O-CR07NPMW","merchant__bigboxretailer","Processed"
"O-9NVNIKGN","merchant__bigboxretailer","Processed"
"O-2FJBYRTF","merchant__electronics","Processed"
"O-ZW5WUATD","merchant__electronics","Processed"
"O-ME0B30UQ","merchant__electronics","In Cart"
"O-4B11SHNK","merchant__bigboxretailer","Processed"
"O-A6EF5RWV","merchant__bigboxretailer","Processed"
"O-F6MY2H9Q","merchant__electronics","Processed"
"O-SOGLJ1NM","merchant__electronics","Processed"
"O-MOTKM00L","merchant__bigboxretailer","Processed"
"O-NY9B0ISG","merchant__electronics","Processed"
"O-HDOJLAJA","merchant__electronics","Processed"
"O-FO905T82","merchant__bigboxretailer","Processed"
"O-X5O7QAD1","merchant__bigboxretailer","Processed"
"O-ZBEQKSQ5","merchant__bigboxretailer","Processed"
"O-Q62PSAQ7","merchant__electronics","Processed"
"O-PJ5JI8NT","merchant__electronics","Processed"
"O-PY6K76E2","merchant__bigboxretailer","Processed"
"O-70UL3PAV","merchant__clothing","Processed"
"O-7ELSE53U","merchant__electronics","Processed"
"O-72A9VZZE","merchant__electronics","Processed"
"O-LP66NQZL","merchant__bigboxretailer","Processed"
"O-NF70YTKK","merchant__electronics","Processed"
"O-AGMR3Y3E","merchant__electronics","Processed"
"O-ADFRQN28","merchant__bigboxretailer","Processed"
"O-KXSOXRC3","merchant__bigboxretailer","Processed"
"O-RH4F4D1W","merchant__clothing","Processed"
"O-MUKWB27L","merchant__electronics","Processed"
"O-EU3W9D3S","merchant__electronics","Processed"
"O-63GGSSPY","merchant__electronics","In Cart"
"O-DFFXT9GD","merchant__clothing","Processed"
"O-I20AEUKO","merchant__bigboxretailer","Processed"
"O-MP18IJMD","merchant__electronics","Processed"
"O-GOPO8XR8","merchant__electronics","Processed"
"O-TG5BDG8J","merchant__electronics","Processed"
"O-JD04BPJO","merchant__bigboxretailer","Processed"
"O-X7N352SK","merchant__electronics","Processed"
"O-SQGPB7QQ","merchant__bigboxretailer","Processed"
"O-VAVKA1AI","merchant__electronics","Processed"
"O-C7UB2XKE","merchant__clothing","Processed"
"O-YVX1UF4S","merchant__electronics","Canceled"
"O-0GZH08VR","merchant__bigboxretailer","Processed"
"O-O893LQ1N","merchant__bigboxretailer","Canceled"
"O-KTVBF1BX","merchant__electronics","Processed"
"O-HNZ44GQH","merchant__electronics","Processed"
"O-JVRC8MI3","merchant__electronics","Processed"
"O-ND73H0YN","merchant__bigboxretailer","Processed"
"O-GWY49XOI","merchant__bigboxretailer","Processed"
"O-RN9J2F1K","merchant__bigboxretailer","Processed"
"O-UOAL7AGV","merchant__electronics","Processed"
"O-5GYYZGW1","merchant__clothing","Processed"
"O-MW5X508Z","merchant__electronics","Processed"
"O-LEMNWWNO","merchant__clothing","Processed"
"O-EQW112Z9","merchant__bigboxretailer","Processed"
"O-S6AW1IQ6","merchant__bigboxretailer","Processed"
"O-TARBUVPY","merchant__bigboxretailer","Processed"
"O-HKJ9OYWR","merchant__clothing","Processed"
"O-NBTIJIHA","merchant__bigboxretailer","Processed"
"O-825NQ318","merchant__bigboxretailer","Processed"
"O-Z27XALJ5","merchant__electronics","Processed"
"O-YWF2HGM3","merchant__clothing","Processed"
"O-17O146MW","merchant__clothing","Processed"
"O-84JCEW7M","merchant__electronics","Processed"
"O-FX7937QP","merchant__clothing","Processed"
"O-XYYOK5KO","merchant__clothing","Processed"
"O-B2N17S06","merchant__bigboxretailer","Processed"
"O-0HOQ4WTB","merchant__bigboxretailer","Processed"
"O-4VS6ZNDT","merchant__clothing","Processed"
"O-OOQYVU7A","merchant__clothing","Processed"
"O-1PZAD3OD","merchant__electronics","Processed"
"O-CF7N63GX","merchant__clothing","Processed"
"O-QISIVS6S","merchant__clothing","Processed"
"O-7XE2KN9E","merchant__bigboxretailer","Processed"
"O-WBTXUP3O","merchant__clothing","Processed"
"O-DYA6PMCW","merchant__electronics","Processed"
"O-8683KNKH","merchant__bigboxretailer","Processed"
"O-RT6311G5","merchant__clothing","Processed"
"O-8MA105ZW","merchant__electronics","Canceled"
"O-A5DY9TEE","merchant__clothing","Canceled"
"O-KE21TQ6L","merchant__electronics","Processed"
"O-7K9VJP2Q","merchant__electronics","Processed"
"O-ITAAYKU1","merchant__clothing","Processed"
"O-ATLESXXL","merchant__clothing","In Cart"
"O-J0QYYX9B","merchant__clothing","Processed"
"O-52EYFXMY","merchant__clothing","Processed"
"O-370H9S6K","merchant__clothing","Canceled"
"O-LGWKSGQJ","merchant__electronics","Processed"
"O-3VMY3CBA","merchant__clothing","Processed"
"O-UYUOHOAP","merchant__electronics","Processed"
"O-MWK7TR4H","merchant__clothing","In Cart"
"O-5E5RHT6L","merchant__clothing","Processed"
"O-APJX5RFS","merchant__bigboxretailer","Processed"
"O-CGCIEJ3E","merchant__bigboxretailer","Processed"
"O-ID3XTI3U","merchant__electronics","Processed"
"O-7PYXE9NA","merchant__electronics","Processed"
"O-SH58VU3I","merchant__clothing","Processed"
"O-1S3P6UDL","merchant__bigboxretailer","In Cart"
"O-J0W3CDTL","merchant__clothing","Processed"
"O-HODVOVD1","merchant__clothing","Processed"
"O-KQ28F49F","merchant__clothing","Processed"
"O-12IMDGKH","merchant__clothing","Processed"
"O-AGFQG4AR","merchant__clothing","Processed"
"O-0RIVJSWE","merchant__bigboxretailer","Processed"
"O-PG6ULCVW","merchant__bigboxretailer","Processed"
"O-IZJD33BY","merchant__clothing","Canceled"
"O-MY1T1SIR","merchant__electronics","Processed"
"O-NOUL5KGU","merchant__electronics","Processed"
"O-WKWOPGJU","merchant__clothing","Processed"
"O-5LUW962A","merchant__clothing","Processed"
"O-FS4I40A8","merchant__clothing","Processed"
"O-XCZ6LYWD","merchant__bigboxretailer","Processed"
"O-Y0213T80","merchant__electronics","In Cart"
"O-YF4Q97K0","merchant__clothing","Processed"
"O-ARHTBET4","merchant__bigboxretailer","Processed"
"O-2UGFDVYJ","merchant__clothing","Processed"
"O-0JYKYT2F","merchant__bigboxretailer","Processed"
"O-EH2NNY51","merchant__clothing","Processed"
"O-A2X9EHWQ","merchant__clothing","Processed"
"O-OOLPUL8H","merchant__clothing","Processed"
"O-1N8LSD3E","merchant__clothing","Processed"
"O-UK17J086","merchant__electronics","Processed"
"O-ELBZJ6MZ","merchant__electronics","Processed"
"O-S4PYSHI6","merchant__bigboxretailer","Processed"
"O-UVRAKZT0","merchant__electronics","Processed"
"O-Z43M1Z8Q","merchant__electronics","Processed"
"O-1KMJPXTN","merchant__bigboxretailer","Processed"
"O-FXM9AOFM","merchant__bigboxretailer","Processed"
"O-AG51SVKQ","merchant__clothing","Processed"
"O-H6K2K297","merchant__electronics","Processed"
"O-72LDK9EX","merchant__electronics","Processed"
"O-MYPR1IRM","merchant__bigboxretailer","Processed"
"O-UCP1WJ6M","merchant__electronics","Processed"
