"MONTHLY_INVENTORY_ID","PRODUCT__PRODUCT_ID","INVENTORY_MONTH","MONTHLY_QUANTITY_EOM","WDF__CLIENT_ID","MONTHLY_QUANTITY_BOM","DATE"
"M-6U48A88L","P-WCE20JTF","2020-10-01","3720","merchant__clothing","3734","2020-10-01 00-00-00"
"M-REG18QIM","P-IFR7XNZU","2020-10-01","3251","merchant__clothing","3265","2020-10-01 00-00-00"
"M-F7OJGB1Y","P-MVYT9RO5","2020-10-01","3324","merchant__clothing","3332","2020-10-01 00-00-00"
"M-MK74NEV0","P-AIRC58HA","2020-10-01","3514","merchant__clothing","3536","2020-10-01 00-00-00"
"M-APWPAJDU","P-2VE4TZ6X","2020-10-01","3183","merchant__clothing","3207","2020-10-01 00-00-00"
"M-LPCWLMRY","P-BY801X6C","2020-10-01","3694","merchant__clothing","3702","2020-10-01 00-00-00"
"M-7SLZU327","P-4FZPN4Q0","2020-10-01","3760","merchant__clothing","3766","2020-10-01 00-00-00"
"M-9SB24LV6","P-VDSPK6RN","2020-10-01","3363","merchant__clothing","3367","2020-10-01 00-00-00"
"M-7TDJ3FVS","P-0OQF7VYC","2020-10-01","4295","merchant__clothing","4301","2020-10-01 00-00-00"
"M-HDDXIQXO","P-OLW0TSI8","2020-10-01","3886","merchant__clothing","3902","2020-10-01 00-00-00"
"M-H247UCXQ","P-0KRA6WAL","2020-10-01","3839","merchant__clothing","3848","2020-10-01 00-00-00"
"M-7D3DNFT9","P-3EOYYEE1","2020-10-01","3704","merchant__clothing","3707","2020-10-01 00-00-00"
"M-9L3VZX28","P-OYSOIO3E","2020-10-01","3687","merchant__clothing","3705","2020-10-01 00-00-00"
"M-7PGLMZ7A","P-G0FTKLTE","2020-10-01","4164","merchant__clothing","4164","2020-10-01 00-00-00"
"M-C9AL28TB","P-OM1C9X5N","2020-10-01","3331","merchant__clothing","3337","2020-10-01 00-00-00"
"M-DWL4EH9G","P-MJY1ONE3","2020-10-01","3809","merchant__clothing","3812","2020-10-01 00-00-00"
"M-HHHWURBL","P-9ZY994AM","2020-10-01","3770","merchant__clothing","3780","2020-10-01 00-00-00"
"M-26YOC25W","P-43CS4SF0","2020-10-01","3807","merchant__clothing","3808","2020-10-01 00-00-00"
"M-64XM0IH1","P-HVWY0H8W","2020-10-01","3284","merchant__clothing","3284","2020-10-01 00-00-00"
"M-R70XEOYC","P-AZL6GCEJ","2020-10-01","3312","merchant__clothing","3312","2020-10-01 00-00-00"
"M-ZFDHMB84","P-UMFHIT9D","2020-10-01","3753","merchant__clothing","3769","2020-10-01 00-00-00"
"M-8NHHIYF1","P-6KZPGYS2","2020-10-01","3583","merchant__clothing","3593","2020-10-01 00-00-00"
"M-XOE698TC","P-F91XAKN6","2020-10-01","3612","merchant__clothing","3612","2020-10-01 00-00-00"
"M-HPHHLJL0","P-R7UAOX99","2020-10-01","3267","merchant__clothing","3280","2020-10-01 00-00-00"
"M-H11JSR96","P-N57FDK0T","2020-10-01","3405","merchant__clothing","3414","2020-10-01 00-00-00"
"M-PCIKR55S","P-EW3747W1","2020-10-01","3368","merchant__clothing","3378","2020-10-01 00-00-00"
"M-4MBFHA13","P-2L8EOTAT","2020-10-01","3896","merchant__clothing","3905","2020-10-01 00-00-00"
"M-U2LUTAUQ","P-VIYCFS77","2020-10-01","4103","merchant__clothing","4122","2020-10-01 00-00-00"
"M-4XHZREO2","P-58DRPVQN","2020-10-01","4068","merchant__clothing","4082","2020-10-01 00-00-00"
"M-J6YHQBY1","P-GY0QWRA6","2020-10-01","3361","merchant__clothing","3368","2020-10-01 00-00-00"
"M-F2HG34IG","P-2PM5BVP2","2020-10-01","3835","merchant__clothing","3837","2020-10-01 00-00-00"
"M-7CXHN80T","P-01WEJZZC","2020-10-01","3309","merchant__clothing","3316","2020-10-01 00-00-00"
"M-JY6H1HQM","P-8NRIEW0B","2020-10-01","4048","merchant__clothing","4048","2020-10-01 00-00-00"
"M-GIU1SDOZ","P-3HV9D2NY","2020-10-01","3942","merchant__clothing","3951","2020-10-01 00-00-00"
"M-ZV0VW5N6","P-B02X502R","2020-10-01","3073","merchant__clothing","3073","2020-10-01 00-00-00"
"M-CB7KXIKO","P-74LS3MQB","2020-10-01","3732","merchant__clothing","3742","2020-10-01 00-00-00"
"M-Z1NSHYLM","P-0JYTMT0L","2020-10-01","3086","merchant__clothing","3086","2020-10-01 00-00-00"
"M-AYJ8FMPG","P-HGFKTM66","2020-10-01","3734","merchant__clothing","3748","2020-10-01 00-00-00"
"M-WASAEID1","P-RDJI9T9F","2020-10-01","3564","merchant__clothing","3571","2020-10-01 00-00-00"
"M-XL95CZ8K","P-SLGIKFKK","2020-10-01","3353","merchant__clothing","3354","2020-10-01 00-00-00"
"M-HHBDSN2O","P-E9X910XO","2020-10-01","3164","merchant__clothing","3179","2020-10-01 00-00-00"
"M-3FK9H3IG","P-0PXKVG0N","2020-10-01","11176","merchant__electronics","11205","2020-10-01 00-00-00"
"M-ZAPWGJBE","P-TCM30JSA","2020-10-01","11836","merchant__electronics","11836","2020-10-01 00-00-00"
"M-DH7NDLCM","P-7Y4K14EN","2020-10-01","10240","merchant__electronics","10271","2020-10-01 00-00-00"
"M-M9OUTS8Q","P-7USROXUH","2020-10-01","11187","merchant__electronics","11196","2020-10-01 00-00-00"
"M-C703PZRB","P-64SCMZTI","2020-10-01","11477","merchant__electronics","11477","2020-10-01 00-00-00"
"M-833YOMU9","P-97ETQLGE","2020-10-01","10750","merchant__electronics","10763","2020-10-01 00-00-00"
"M-YN2KSUWZ","P-B15KLNVG","2020-10-01","10436","merchant__electronics","10445","2020-10-01 00-00-00"
"M-6JHE40ON","P-BDUFVBWI","2020-10-01","10935","merchant__electronics","10954","2020-10-01 00-00-00"
"M-U9UGDW4W","P-512NIRCS","2020-10-01","11014","merchant__electronics","11042","2020-10-01 00-00-00"
"M-76ILK43D","P-IPWZHS6N","2020-10-01","10397","merchant__electronics","10404","2020-10-01 00-00-00"
"M-8KUQ6OD1","P-94L9CM43","2020-10-01","12155","merchant__electronics","12179","2020-10-01 00-00-00"
"M-4QV33ALC","P-T4J5SPDH","2020-10-01","10826","merchant__electronics","10827","2020-10-01 00-00-00"
"M-L80IMUJ4","P-LJF6JW34","2020-10-01","10925","merchant__electronics","10936","2020-10-01 00-00-00"
"M-WEY81KHE","P-SB16AJCQ","2020-10-01","11311","merchant__electronics","11323","2020-10-01 00-00-00"
"M-W0MW5K10","P-8IYNUHBN","2020-10-01","11357","merchant__electronics","11357","2020-10-01 00-00-00"
"M-GIBK46WF","P-V8ZAOFH6","2020-10-01","10639","merchant__electronics","10645","2020-10-01 00-00-00"
"M-9EOZF7DJ","P-3FM1TBGC","2020-10-01","11006","merchant__electronics","11046","2020-10-01 00-00-00"
"M-9TII1DM6","P-7H5D464H","2020-10-01","11765","merchant__electronics","11785","2020-10-01 00-00-00"
"M-6FSG8I5W","P-BCYDQQFM","2020-10-01","10356","merchant__electronics","10369","2020-10-01 00-00-00"
"M-R3PT85IJ","P-5EY3QHB8","2020-10-01","10972","merchant__electronics","10972","2020-10-01 00-00-00"
"M-4KJKU17F","P-AQO84D48","2020-10-01","10671","merchant__electronics","10681","2020-10-01 00-00-00"
"M-UODGYS8S","P-52H742IC","2020-10-01","11754","merchant__electronics","11765","2020-10-01 00-00-00"
"M-745J45SL","P-2U6BJ11K","2020-10-01","11358","merchant__electronics","11378","2020-10-01 00-00-00"
"M-NDDGO17W","P-7ACL50TZ","2020-10-01","10996","merchant__electronics","11005","2020-10-01 00-00-00"
"M-7E8AJ6E0","P-NMXYS1B1","2020-10-01","11157","merchant__electronics","11165","2020-10-01 00-00-00"
"M-ZASYX4QN","P-WY5JAPIB","2020-10-01","11448","merchant__electronics","11464","2020-10-01 00-00-00"
"M-AO2MBXQB","P-HHU53P7N","2020-10-01","11296","merchant__electronics","11296","2020-10-01 00-00-00"
"M-QJFBVVCK","P-W0J8NFFN","2020-10-01","11059","merchant__electronics","11073","2020-10-01 00-00-00"
"M-Q31RIMN0","P-YIORMD3E","2020-10-01","11492","merchant__electronics","11504","2020-10-01 00-00-00"
"M-6K67RCHF","P-V31BEYOD","2020-11-01","6591","merchant__bigboxretailer","6853","2020-11-01 00-00-00"
"M-O9XZOTE5","P-T19LH1W3","2020-11-01","6479","merchant__bigboxretailer","6660","2020-11-01 00-00-00"
"M-Z1RC8BBL","P-D4UZI0Q6","2020-11-01","7056","merchant__bigboxretailer","7347","2020-11-01 00-00-00"
"M-G7SSRLEX","P-DIJYSCJX","2020-11-01","6377","merchant__bigboxretailer","6624","2020-11-01 00-00-00"
"M-CW1T0OBI","P-BBEXUP0N","2020-11-01","6020","merchant__bigboxretailer","6343","2020-11-01 00-00-00"
"M-XUXKQ4XC","P-V9C1Z60T","2020-11-01","5924","merchant__bigboxretailer","6198","2020-11-01 00-00-00"
"M-4FLGBP63","P-8IVS3X5D","2020-11-01","6270","merchant__bigboxretailer","6587","2020-11-01 00-00-00"
"M-4I2X5S3Q","P-YJD7ZFQ2","2020-11-01","6610","merchant__bigboxretailer","6823","2020-11-01 00-00-00"
"M-RACIDBX8","P-BTB8ZRXC","2020-11-01","6158","merchant__bigboxretailer","6436","2020-11-01 00-00-00"
"M-2ERHCDI3","P-C09JGU3F","2020-11-01","6099","merchant__bigboxretailer","6345","2020-11-01 00-00-00"
"M-SMCZBSRI","P-E50KGFCU","2020-11-01","7048","merchant__bigboxretailer","7260","2020-11-01 00-00-00"
"M-I2U4N2YK","P-CHYU4ZJI","2020-11-01","6221","merchant__bigboxretailer","6522","2020-11-01 00-00-00"
"M-FBWYKV7A","P-XAYNR0T6","2020-11-01","7011","merchant__bigboxretailer","7232","2020-11-01 00-00-00"
"M-CJ9ZEB4H","P-WO0SDMGK","2020-11-01","6078","merchant__bigboxretailer","6420","2020-11-01 00-00-00"
"M-ZXE0DVQS","P-0TWSXI4N","2020-11-01","6704","merchant__bigboxretailer","7005","2020-11-01 00-00-00"
"M-RIFMW60Y","P-VFGGTGZ6","2020-11-01","5893","merchant__bigboxretailer","6114","2020-11-01 00-00-00"
"M-OQL3B8HO","P-THIK9F1X","2020-11-01","7130","merchant__bigboxretailer","7401","2020-11-01 00-00-00"
"M-GFAPHWQ4","P-WQMXKEGP","2020-11-01","5692","merchant__bigboxretailer","5986","2020-11-01 00-00-00"
"M-2S625F3E","P-S36CB1QJ","2020-11-01","6595","merchant__bigboxretailer","6868","2020-11-01 00-00-00"
"M-44D1OV1M","P-3MTZNZZQ","2020-11-01","6360","merchant__bigboxretailer","6636","2020-11-01 00-00-00"
"M-C0EJ6WDE","P-5XCG0UTE","2020-11-01","6839","merchant__bigboxretailer","7073","2020-11-01 00-00-00"
"M-5TUA8HYX","P-4D4GBPXQ","2020-11-01","6408","merchant__bigboxretailer","6666","2020-11-01 00-00-00"
"M-VATN182P","P-GW67493M","2020-11-01","5743","merchant__bigboxretailer","6099","2020-11-01 00-00-00"
"M-IEE9Z6LG","P-WTY27OZL","2020-11-01","6445","merchant__bigboxretailer","6679","2020-11-01 00-00-00"
"M-PV2DTPRQ","P-2SD45TWG","2020-11-01","6331","merchant__bigboxretailer","6633","2020-11-01 00-00-00"
"M-FP9ZY54N","P-L6YPNB29","2020-11-01","6480","merchant__bigboxretailer","6782","2020-11-01 00-00-00"
"M-ISLUR1BR","P-A8O48KV0","2020-11-01","6648","merchant__bigboxretailer","6894","2020-11-01 00-00-00"
"M-8OYAP6GQ","P-WMS7SICR","2020-11-01","6361","merchant__bigboxretailer","6627","2020-11-01 00-00-00"
"M-IQ1B7VP6","P-4563KS3N","2020-11-01","6586","merchant__bigboxretailer","6846","2020-11-01 00-00-00"
"M-4AAMC3OV","P-5WF8MAWW","2020-11-01","7281","merchant__bigboxretailer","7516","2020-11-01 00-00-00"
"M-I0XU6BG8","P-9FWVXP10","2020-11-01","6344","merchant__bigboxretailer","6642","2020-11-01 00-00-00"
"M-QXZS6Y1O","P-JJCPYV91","2020-11-01","6917","merchant__bigboxretailer","7088","2020-11-01 00-00-00"
"M-SP3ISUOD","P-1QIE7O8G","2020-11-01","6087","merchant__bigboxretailer","6313","2020-11-01 00-00-00"
"M-WGVNUXCS","P-ICT7RI6F","2020-11-01","6910","merchant__bigboxretailer","7239","2020-11-01 00-00-00"
"M-11NI3Z3E","P-HHR04158","2020-11-01","6362","merchant__bigboxretailer","6608","2020-11-01 00-00-00"
"M-AJW2WO5H","P-YTLNZJKP","2020-11-01","6296","merchant__bigboxretailer","6582","2020-11-01 00-00-00"
"M-8UL88MCV","P-JTUI8HSG","2020-11-01","6158","merchant__bigboxretailer","6391","2020-11-01 00-00-00"
"M-KJ6SS9XH","P-EYKEOJCJ","2020-11-01","6295","merchant__bigboxretailer","6462","2020-11-01 00-00-00"
"M-YA7ZLLZD","P-FZ66BFMY","2020-11-01","6527","merchant__bigboxretailer","6678","2020-11-01 00-00-00"
"M-7VRJKH1A","P-HNK5Z07P","2020-11-01","3629","merchant__clothing","3730","2020-11-01 00-00-00"
"M-0P7NKZJ5","P-TGYAQJM6","2020-11-01","4083","merchant__clothing","4188","2020-11-01 00-00-00"
"M-4WQ7CRTI","P-ASQFR4X3","2020-11-01","3268","merchant__clothing","3446","2020-11-01 00-00-00"
"M-UH2POA70","P-RGJRVFSZ","2020-11-01","3506","merchant__clothing","3635","2020-11-01 00-00-00"
"M-JFC3ZX19","P-KWA3U3HT","2020-11-01","3586","merchant__clothing","3701","2020-11-01 00-00-00"
"M-MFSLA404","P-I2W8RZWZ","2020-11-01","3024","merchant__clothing","3193","2020-11-01 00-00-00"
"M-O0TX3312","P-NKUV88W1","2020-11-01","3429","merchant__clothing","3521","2020-11-01 00-00-00"
"M-VI4JE4IG","P-Z0B4UTT8","2020-11-01","3307","merchant__clothing","3424","2020-11-01 00-00-00"
"M-AT33NYT7","P-SOZUA4Z4","2020-11-01","3717","merchant__clothing","3876","2020-11-01 00-00-00"
"M-FXO4PHX7","P-NHO3Q8SD","2020-11-01","3791","merchant__clothing","3889","2020-11-01 00-00-00"
"M-M6OB2JZI","P-096T1FM5","2020-11-01","3263","merchant__clothing","3453","2020-11-01 00-00-00"
"M-E2PHQF5H","P-75R0H42R","2020-11-01","2924","merchant__clothing","3053","2020-11-01 00-00-00"
"M-Y7DEPYZM","P-69DZ5V1V","2020-11-01","3135","merchant__clothing","3269","2020-11-01 00-00-00"
"M-2ZNVQN1C","P-R8ZEIVJR","2020-11-01","3848","merchant__clothing","3975","2020-11-01 00-00-00"
"M-WJ6K2YDH","P-9BGJMXLM","2020-11-01","3028","merchant__clothing","3198","2020-11-01 00-00-00"
"M-2D7N9Z2F","P-CYG3KGYG","2020-11-01","2913","merchant__clothing","3033","2020-11-01 00-00-00"
"M-8WZ5ZUYB","P-WCE20JTF","2020-11-01","3597","merchant__clothing","3720","2020-11-01 00-00-00"
"M-1W63289B","P-IFR7XNZU","2020-11-01","3127","merchant__clothing","3251","2020-11-01 00-00-00"
"M-W5S7PO4D","P-MVYT9RO5","2020-11-01","3223","merchant__clothing","3324","2020-11-01 00-00-00"
"M-E554JYNH","P-AIRC58HA","2020-11-01","3379","merchant__clothing","3514","2020-11-01 00-00-00"
"M-75QBKQYT","P-2VE4TZ6X","2020-11-01","3067","merchant__clothing","3183","2020-11-01 00-00-00"
"M-M5E8NZQP","P-BY801X6C","2020-11-01","3540","merchant__clothing","3694","2020-11-01 00-00-00"
"M-KI5S2MXZ","P-4FZPN4Q0","2020-11-01","3640","merchant__clothing","3760","2020-11-01 00-00-00"
"M-6RTPYZGJ","P-VDSPK6RN","2020-11-01","3219","merchant__clothing","3363","2020-11-01 00-00-00"
"M-GQHW1Y62","P-0OQF7VYC","2020-11-01","4097","merchant__clothing","4295","2020-11-01 00-00-00"
"M-U7V4DAMZ","P-OLW0TSI8","2020-11-01","3731","merchant__clothing","3886","2020-11-01 00-00-00"
"M-F7GCZSCI","P-0KRA6WAL","2020-11-01","3686","merchant__clothing","3839","2020-11-01 00-00-00"
"M-C6QUZPI4","P-3EOYYEE1","2020-11-01","3588","merchant__clothing","3704","2020-11-01 00-00-00"
"M-QGGZ7QX6","P-OYSOIO3E","2020-11-01","3520","merchant__clothing","3687","2020-11-01 00-00-00"
"M-3D29FQA3","P-G0FTKLTE","2020-11-01","4033","merchant__clothing","4164","2020-11-01 00-00-00"
"M-TKFTAU8Y","P-OM1C9X5N","2020-11-01","3173","merchant__clothing","3331","2020-11-01 00-00-00"
"M-HVUI8EIM","P-MJY1ONE3","2020-11-01","3691","merchant__clothing","3809","2020-11-01 00-00-00"
"M-M44FORRL","P-9ZY994AM","2020-11-01","3612","merchant__clothing","3770","2020-11-01 00-00-00"
"M-RVA5WXX8","P-43CS4SF0","2020-11-01","3671","merchant__clothing","3807","2020-11-01 00-00-00"
"M-K7A35ZEJ","P-HVWY0H8W","2020-11-01","3145","merchant__clothing","3284","2020-11-01 00-00-00"
"M-GR02E08D","P-AZL6GCEJ","2020-11-01","3172","merchant__clothing","3312","2020-11-01 00-00-00"
"M-JAABS8DL","P-UMFHIT9D","2020-11-01","3583","merchant__clothing","3753","2020-11-01 00-00-00"
"M-DIRENQ1I","P-6KZPGYS2","2020-11-01","3466","merchant__clothing","3583","2020-11-01 00-00-00"
"M-S9PF3ZP7","P-F91XAKN6","2020-11-01","3463","merchant__clothing","3612","2020-11-01 00-00-00"
"M-KPWSTZE6","P-R7UAOX99","2020-11-01","3168","merchant__clothing","3267","2020-11-01 00-00-00"
"M-F45ACP3F","P-N57FDK0T","2020-11-01","3288","merchant__clothing","3405","2020-11-01 00-00-00"
"M-HG2JJMZC","P-EW3747W1","2020-11-01","3273","merchant__clothing","3368","2020-11-01 00-00-00"
"M-GMPHXRA5","P-2L8EOTAT","2020-11-01","3792","merchant__clothing","3896","2020-11-01 00-00-00"
"M-H5G5D07Z","P-VIYCFS77","2020-11-01","3969","merchant__clothing","4103","2020-11-01 00-00-00"
"M-TQVVQGAV","P-58DRPVQN","2020-11-01","3943","merchant__clothing","4068","2020-11-01 00-00-00"
"M-31C5M7OD","P-GY0QWRA6","2020-11-01","3182","merchant__clothing","3361","2020-11-01 00-00-00"
"M-QBMZ3HLF","P-2PM5BVP2","2020-11-01","3728","merchant__clothing","3835","2020-11-01 00-00-00"
"M-V9RBRGY8","P-01WEJZZC","2020-11-01","3213","merchant__clothing","3309","2020-11-01 00-00-00"
"M-UPJSXVUN","P-8NRIEW0B","2020-11-01","3954","merchant__clothing","4048","2020-11-01 00-00-00"
"M-B63648QI","P-3HV9D2NY","2020-11-01","3735","merchant__clothing","3942","2020-11-01 00-00-00"
"M-PLQVJ7EJ","P-B02X502R","2020-11-01","2960","merchant__clothing","3073","2020-11-01 00-00-00"
"M-H0K1LO3T","P-74LS3MQB","2020-11-01","3627","merchant__clothing","3732","2020-11-01 00-00-00"
"M-PPG1OUYX","P-0JYTMT0L","2020-11-01","2997","merchant__clothing","3086","2020-11-01 00-00-00"
"M-3YUBBPRU","P-HGFKTM66","2020-11-01","3609","merchant__clothing","3734","2020-11-01 00-00-00"
"M-VZXQISZC","P-RDJI9T9F","2020-11-01","3489","merchant__clothing","3564","2020-11-01 00-00-00"
"M-6T7K1GAL","P-SLGIKFKK","2020-11-01","3211","merchant__clothing","3353","2020-11-01 00-00-00"
"M-636SYRRU","P-E9X910XO","2020-11-01","3056","merchant__clothing","3164","2020-11-01 00-00-00"
"M-EIQQRNEV","P-0PXKVG0N","2020-11-01","10757","merchant__electronics","11176","2020-11-01 00-00-00"
"M-JGAZMM9H","P-TCM30JSA","2020-11-01","11383","merchant__electronics","11836","2020-11-01 00-00-00"
"M-623O8FCJ","P-7Y4K14EN","2020-11-01","9770","merchant__electronics","10240","2020-11-01 00-00-00"
"M-8P0LHP3A","P-7USROXUH","2020-11-01","10787","merchant__electronics","11187","2020-11-01 00-00-00"
"M-CNUWJUXO","P-64SCMZTI","2020-11-01","10999","merchant__electronics","11477","2020-11-01 00-00-00"
"M-PJPBNBZM","P-97ETQLGE","2020-11-01","10302","merchant__electronics","10750","2020-11-01 00-00-00"
"M-OYI3GACK","P-B15KLNVG","2020-11-01","9996","merchant__electronics","10436","2020-11-01 00-00-00"
"M-I7XZ76UZ","P-BDUFVBWI","2020-11-01","10448","merchant__electronics","10935","2020-11-01 00-00-00"
"M-9Z55PHOH","P-512NIRCS","2020-11-01","10678","merchant__electronics","11014","2020-11-01 00-00-00"
"M-KL8795Z2","P-IPWZHS6N","2020-11-01","9986","merchant__electronics","10397","2020-11-01 00-00-00"
"M-4BMVKTOJ","P-94L9CM43","2020-11-01","11650","merchant__electronics","12155","2020-11-01 00-00-00"
"M-8CZGW4J1","P-T4J5SPDH","2020-11-01","10309","merchant__electronics","10826","2020-11-01 00-00-00"
"M-H3SM3ZNG","P-LJF6JW34","2020-11-01","10457","merchant__electronics","10925","2020-11-01 00-00-00"
